Txn Date,Memo,Type,Amount,Running Balance
11/10/2025,원천세·지방소득세 납부 / 세금공과,withdrawal,-480000,70469173
11/12/2025,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,70351173
11/15/2025,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-1319130,69032043
11/18/2025,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-554251,68477792
11/20/2025,[프로젝트] B사 ERP 연동 중도금 / 매출,deposit,9900000,78377792
11/25/2025,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-11600000,66777792
11/27/2025,[프로젝트] A사 유지보수 개발 추가 과업 / 매출,deposit,8800000,75577792
11/28/2025,식대·복리후생 / 기타,withdrawal,-687746,74890046
11/30/2025,[유지보수] 월 정액 (3개사) / 매출,deposit,3300000,78190046
12/03/2025,클라우드 서버 이용료 / 기타,withdrawal,-564859,77625187
12/05/2025,[프로젝트] H사 SI 소규모 계약 / 매출,deposit,4400000,82025187
12/05/2025,사무실 임차료 / 임차료,withdrawal,-1500000,80525187
12/05/2025,사무실 관리비 / 임차료,withdrawal,-220000,80305187
12/07/2025,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,79985187
12/10/2025,[프로젝트] C사 관리자 대시보드 잔금 / 매출,deposit,12100000,92085187
12/10/2025,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2250000,89835187
12/10/2025,원천세·지방소득세 납부 / 세금공과,withdrawal,-480000,89355187
12/12/2025,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,89237187
12/15/2025,예금 이자 / 기타,deposit,19632,89256819
12/15/2025,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-1412123,87844696
12/18/2025,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-628833,87215863
12/18/2025,QA 테스트 외주 / 외주,withdrawal,-1650000,85565863
12/23/2025,[프로젝트] D사 모바일앱 계약금 / 매출,deposit,16500000,102065863
12/25/2025,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-11600000,90465863
12/28/2025,식대·복리후생 / 기타,withdrawal,-591390,89874473
12/30/2025,[유지보수] 월 정액 (3개사) / 매출,deposit,3300000,93174473
01/03/2026,클라우드 서버 이용료 / 기타,withdrawal,-577444,92597029
01/05/2026,사무실 임차료 / 임차료,withdrawal,-1500000,91097029
01/05/2026,사무실 관리비 / 임차료,withdrawal,-250000,90847029
01/07/2026,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,90527029
01/10/2026,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2250000,88277029
01/10/2026,원천세·지방소득세 납부 / 세금공과,withdrawal,-480000,87797029
01/12/2026,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,87679029
01/15/2026,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-1337828,86341201
01/16/2026,[프로젝트] C사 2차 고도화 계약금 / 매출,deposit,6600000,92941201
01/18/2026,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-607114,92334087
01/25/2026,부가가치세 신고·납부 / 세금공과,withdrawal,-3120000,89214087
01/25/2026,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-11600000,77614087
01/28/2026,식대·복리후생 / 기타,withdrawal,-550681,77063406
01/30/2026,[프로젝트] B사 ERP 연동 잔금 / 매출,deposit,13200000,90263406
01/30/2026,[유지보수] 월 정액 (3개사) / 매출,deposit,3300000,93563406
02/03/2026,클라우드 서버 이용료 / 기타,withdrawal,-620779,92942627
02/05/2026,사무실 임차료 / 임차료,withdrawal,-1500000,91442627
02/05/2026,사무실 관리비 / 임차료,withdrawal,-240000,91202627
02/07/2026,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,90882627
02/10/2026,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2250000,88632627
02/10/2026,원천세·지방소득세 납부 / 세금공과,withdrawal,-480000,88152627
02/12/2026,[프로젝트] D사 모바일앱 중도금 / 매출,deposit,16500000,104652627
02/12/2026,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,104534627
02/15/2026,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-1272925,103261702
02/18/2026,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-561882,102699820
02/20/2026,[지원사업] 사업화 자금 1차 지급 (가상) / 지원금,deposit,12000000,114699820
02/24/2026,앱 아이콘·그래픽 외주 / 외주,withdrawal,-990000,113709820
02/25/2026,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-11600000,102109820
02/28/2026,[유지보수] 월 정액 (3개사) / 매출,deposit,3300000,105409820
02/28/2026,식대·복리후생 / 기타,withdrawal,-612022,104797798
03/03/2026,클라우드 서버 이용료 / 기타,withdrawal,-708352,104089446
03/05/2026,사무실 임차료 / 임차료,withdrawal,-1500000,102589446
03/05/2026,사무실 관리비 / 임차료,withdrawal,-220000,102369446
03/07/2026,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,102049446
03/10/2026,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2430000,99619446
03/10/2026,원천세·지방소득세 납부 / 세금공과,withdrawal,-518000,99101446
03/12/2026,[프로젝트] D사 앱 유지관리 계약 (반기 선납) / 매출,deposit,8800000,107901446
03/12/2026,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,107783446
03/15/2026,예금 이자 / 기타,deposit,16428,107799874
03/15/2026,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-1369342,106430532
03/18/2026,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-415076,106015456
03/20/2026,법인 등기 변경 수수료 / 세금공과,withdrawal,-86000,105929456
03/25/2026,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-12528000,93401456
03/27/2026,[프로젝트] E사 데이터 파이프라인 계약금 / 매출,deposit,11000000,104401456
03/28/2026,식대·복리후생 / 기타,withdrawal,-529243,103872213
03/30/2026,[유지보수] 월 정액 (3개사) / 매출,deposit,3300000,107172213
03/31/2026,법인세 신고·납부 (2025 사업연도) / 세금공과,withdrawal,-1140000,106032213
04/03/2026,클라우드 서버 이용료 / 기타,withdrawal,-606588,105425625
04/05/2026,사무실 임차료 / 임차료,withdrawal,-1500000,103925625
04/05/2026,사무실 관리비 / 임차료,withdrawal,-220000,103705625
04/07/2026,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,103385625
04/09/2026,모니터 2대·주변기기 / 장비,withdrawal,-780000,102605625
04/10/2026,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2430000,100175625
04/10/2026,원천세·지방소득세 납부 / 세금공과,withdrawal,-518000,99657625
04/12/2026,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,99539625
04/15/2026,[프로젝트] D사 모바일앱 잔금 / 매출,deposit,16500000,116039625
04/15/2026,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-1328782,114710843
04/18/2026,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-463193,114247650
04/20/2026,백엔드 개발 외주 / 외주,withdrawal,-3900000,110347650
04/25/2026,부가가치세 신고·납부 / 세금공과,withdrawal,-2480000,107867650
04/25/2026,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-12528000,95339650
04/28/2026,[프로젝트] H사 SI 잔금 / 매출,deposit,2200000,97539650
04/28/2026,식대·복리후생 / 기타,withdrawal,-554114,96985536
04/30/2026,[유지보수] 월 정액 (3개사) / 매출,deposit,3300000,100285536
05/03/2026,클라우드 서버 이용료 / 기타,withdrawal,-699579,99585957
05/05/2026,사무실 임차료 / 임차료,withdrawal,-1500000,98085957
05/05/2026,사무실 관리비 / 임차료,withdrawal,-240000,97845957
05/07/2026,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,97525957
05/10/2026,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2430000,95095957
05/10/2026,원천세·지방소득세 납부 / 세금공과,withdrawal,-518000,94577957
05/12/2026,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,94459957
05/15/2026,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-2798419,91661538
05/18/2026,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-488198,91173340
05/21/2026,[프로젝트] E사 데이터 파이프라인 중도금 / 매출,deposit,13200000,104373340
05/25/2026,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-12528000,91845340
05/28/2026,식대·복리후생 / 기타,withdrawal,-526093,91319247
05/30/2026,[유지보수] 월 정액 (1개사) / 매출,deposit,1100000,92419247
06/03/2026,클라우드 서버 이용료 / 기타,withdrawal,-614544,91804703
06/05/2026,사무실 임차료 / 임차료,withdrawal,-1500000,90304703
06/05/2026,사무실 관리비 / 임차료,withdrawal,-240000,90064703
06/07/2026,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,89744703
06/10/2026,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2430000,87314703
06/10/2026,원천세·지방소득세 납부 / 세금공과,withdrawal,-518000,86796703
06/12/2026,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,86678703
06/15/2026,예금 이자 / 기타,deposit,14554,86693257
06/15/2026,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-2988946,83704311
06/18/2026,[프로젝트] F사 랜딩페이지 제작 / 매출,deposit,4400000,88104311
06/18/2026,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-582582,87521729
06/25/2026,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-12528000,74993729
06/28/2026,식대·복리후생 / 기타,withdrawal,-633347,74360382
06/29/2026,[프로젝트] I사 홈페이지 리뉴얼 계약금 / 매출,deposit,5500000,79860382
06/30/2026,[유지보수] 월 정액 (1개사) / 매출,deposit,1100000,80960382
07/03/2026,클라우드 서버 이용료 / 기타,withdrawal,-683611,80276771
07/05/2026,사무실 임차료 / 임차료,withdrawal,-1500000,78776771
07/05/2026,사무실 관리비 / 임차료,withdrawal,-220000,78556771
07/07/2026,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,78236771
07/09/2026,[프로젝트] E사 데이터 파이프라인 잔금(일부) / 매출,deposit,8800000,87036771
07/10/2026,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2430000,84606771
07/10/2026,원천세·지방소득세 납부 / 세금공과,withdrawal,-518000,84088771
07/12/2026,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,83970771
07/14/2026,영상 광고 제작 외주 / 외주,withdrawal,-1650000,82320771
07/15/2026,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-2825929,79494842
07/18/2026,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-472975,79021867
07/25/2026,부가가치세 신고·납부 / 세금공과,withdrawal,-1310000,77711867
07/25/2026,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-12528000,65183867
07/28/2026,식대·복리후생 / 기타,withdrawal,-568048,64615819
07/30/2026,[유지보수] 월 정액 (1개사) / 매출,deposit,1100000,65715819
08/03/2026,클라우드 서버 이용료 / 기타,withdrawal,-717420,64998399
08/05/2026,사무실 임차료 / 임차료,withdrawal,-1500000,63498399
08/05/2026,사무실 관리비 / 임차료,withdrawal,-230000,63268399
08/07/2026,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,62948399
08/10/2026,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2430000,60518399
08/10/2026,원천세·지방소득세 납부 / 세금공과,withdrawal,-518000,60000399
08/12/2026,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,59882399
08/15/2026,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-2768315,57114084
08/18/2026,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-558673,56555411
08/25/2026,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-12528000,44027411
08/26/2026,[프로젝트] G사 챗봇 PoC 계약금 / 매출,deposit,9900000,53927411
08/28/2026,식대·복리후생 / 기타,withdrawal,-671615,53255796
08/30/2026,[유지보수] 월 정액 (1개사) / 매출,deposit,1100000,54355796
08/31/2026,주민세 사업소분 / 세금공과,withdrawal,-62500,54293296
